encoderAngle, potentiometerVoltage
-0.439453125, 0.0
-0.439453125, 0.0
0.0, 0.0
0.0, 0.0
0.0, 0.0
0.0, 0.0
0.0, 0.0
0.0, 0.0
0.0, 0.0
0.0, 0.0
0.0, 0.0
0.0, 0.0
0.0, 0.0
0.0, 0.0
0.0, 0.0
0.0, 0.0
0.0, 0.0
0.0, 0.0
0.0, 0.0
0.0, 0.0
0.0, 0.0
0.0, 0.0
0.0, 0.0
0.0, 0.0
0.0, 0.0
0.0, 0.0
0.0, 0.0
0.0, 0.0
0.0, 0.0
0.0, 0.0
0.0, 0.0
0.0, 0.0
0.0, 0.0
0.0, 0.0
0.0, 0.0
0.0, 0.0
0.0, 0.0
0.0, 0.0
0.0, 0.0
0.0, 0.0
0.0, 0.0
0.0, 0.0
0.0, 0.0
0.0, 0.0
0.0, 0.0
0.0, 0.0
0.0, 0.0
0.0, 0.0
0.0, 0.0
0.0, 0.0
0.0, 0.0
0.0, 0.0
0.0, 0.0
0.0, 0.0
0.0, 0.0
0.0, 0.0
0.0, 0.0
0.0, 0.0
0.0, 0.0
0.0, 0.0
0.0, 0.0
0.0, 0.0
0.0, 0.00390625
0.0, 0.0
0.0, 0.0
0.0, 0.0
-0.087890625, 0.0
-0.439453125, 0.00390625
-0.87890625, 0.0
-1.142578125, 0.00390625
-1.40625, 0.00390625
-1.494140625, 0.0
-1.58203125, 0.00390625
-1.669921875, 0.0
-2.021484375, 0.00390625
-2.548828125, 0.00390625
-3.251953125, 0.00390625
-4.130859375, 0.00390625
-4.921875, 0.00390625
-5.80078125, 0.0078125
-6.6796875, 0.0078125
-7.55859375, 0.0078125
-8.525390625, 0.0078125
-9.580078125, 0.01171875
-10.546875, 0.01171875
-11.6015625, 0.01171875
-12.48046875, 0.01171875
-13.18359375, 0.01171875
-13.798828125, 0.015625
-14.4140625, 0.015625
-15.205078125, 0.015625
-15.8203125, 0.015625
-16.435546875, 0.015625
-17.05078125, 0.01953125
-17.666015625, 0.015625
-18.28125, 0.01953125
-18.80859375, 0.01953125
-19.16015625, 0.01953125
-19.599609375, 0.01953125
-20.0390625, 0.015625
-20.390625, 0.01953125
-20.91796875, 0.01953125
-21.4453125, 0.01953125
-22.060546875, 0.01953125
-22.587890625, 0.01953125
-23.203125, 0.0234375
-23.994140625, 0.01953125
-24.609375, 0.0234375
-25.224609375, 0.0234375
-25.83984375, 0.0234375
-26.455078125, 0.0234375
-26.89453125, 0.0234375
-27.421875, 0.02734375
-27.861328125, 0.0234375
-28.30078125, 0.02734375
-28.65234375, 0.02734375
-29.091796875, 0.02734375
-29.619140625, 0.02734375
-30.234375, 0.03125
-30.9375, 0.03125
-31.640625, 0.02734375
-32.431640625, 0.03125
-33.22265625, 0.03125
-33.92578125, 0.03125
-34.541015625, 0.03125
-35.15625, 0.03125
-35.68359375, 0.03515625
-36.298828125, 0.03125
-36.9140625, 0.03515625
-37.44140625, 0.03515625
-38.14453125, 0.03515625
-38.84765625, 0.0390625
-39.638671875, 0.03515625
-40.25390625, 0.0390625
-40.869140625, 0.03515625
-41.572265625, 0.0390625
-42.099609375, 0.0390625
-42.71484375, 0.0390625
-43.154296875, 0.04296875
-43.59375, 0.0390625
-44.033203125, 0.04296875
-44.47265625, 0.0390625
-44.82421875, 0.04296875
-45.17578125, 0.04296875
-45.615234375, 0.0390625
-45.87890625, 0.046875
-46.23046875, 0.04296875
-46.494140625, 0.046875
-46.845703125, 0.04296875
-47.28515625, 0.046875
-47.724609375, 0.046875
-48.33984375, 0.04296875
-48.955078125, 0.046875
-49.658203125, 0.04296875
-50.537109375, 0.05078125
-51.416015625, 0.046875
-52.03125, 0.046875
-52.646484375, 0.05078125
-53.173828125, 0.05078125
-53.61328125, 0.0546875
-54.052734375, 0.046875
-54.31640625, 0.05078125
-54.580078125, 0.05078125
-54.66796875, 0.05078125
-54.84375, 0.0546875
-55.01953125, 0.046875
-55.283203125, 0.0546875
-55.546875, 0.05078125
