Voltage	Rotations
0.00390625	0
0.04296875	0.125
0.0859375	0.25
0.12890625	0.375
0.171875	0.5
0.2109375	0.625
0.25390625	0.75
0.29296875	0.875
0.3359375	1
0.375	1.125
0.41796875	1.25
0.45703125	1.375
0.5	1.5
0.5390625	1.625
0.58203125	1.75
0.62109375	1.875
0.66015625	2
0.703125	2.125
0.7421875	2.25
0.78125	2.375
0.8203125	2.5
0.86328125	2.625
0.90234375	2.75
0.9453125	2.875
0.984375	3
1.0234375	3.125
1.06640625	3.25
1.10546875	3.375
1.14453125	3.5
1.1875	3.625
1.2265625	3.75
1.265625	3.875
1.30859375	4
1.34765625	4.125
1.38671875	4.25
1.42578125	4.375
1.46875	4.5
1.5078125	4.625
1.55078125	4.75
1.58984375	4.875
1.62890625	5
1.671875	5.125
1.7109375	5.25
1.75390625	5.375
1.79296875	5.5
1.83203125	5.625
1.875	5.75
1.9140625	5.875
1.95703125	6
1.99609375	6.125
2.0390625	6.25
2.078125	6.375
2.12109375	6.5
2.16015625	6.625
2.203125	6.75
2.2421875	6.875
2.28515625	7
2.328125	7.125
2.37109375	7.25
2.41015625	7.375
2.453125	7.5
2.49609375	7.625
2.53515625	7.75
2.578125	7.875
2.62109375	8
2.6640625	8.125
2.70703125	8.25
2.75	8.375
2.79296875	8.5
2.83984375	8.625
2.8828125	8.75
2.9296875	8.875
2.97265625	9
3.01953125	9.125
3.06640625	9.25
3.109375	9.375
3.15625	9.5
3.203125	9.625
3.24609375	9.75
3.2890625	9.875
3.33203125	10
